player_name,canonical_id,pitcher_idx,espn_id,throws,bats,position,source
TERRY,NCAA_621265,4544,,,,SP,pitcher_table
Cole Fehrman,NCAA_614724,4543,,,,SP,pitcher_table
J. Kim,NCAA_614713,4542,,R,,SP,pitcher_table
S. CARLISLE,NCAA_614816,4541,,R,,SP,pitcher_table
Luke Neiswonger,NCAA_614581,4540,,R,,SP,pitcher_table
Chandler Ald,NCAA_614664,4539,,,,SP,pitcher_table
Marco Dumsky,NCAA_614591,4538,,,,SP,pitcher_table
Marks,NCAA_614690,4537,,R,,SP,pitcher_table
Jerem Eneix,NCAA_614745,4536,,,,SP,pitcher_table
Trevor Moore,BSB_STANFORD,4535,,,,RP,pitcher_table
Joe CASTRICHINI,NCAA_614643,4534,,R,,SP,pitcher_table
Gus Allred,NCAA_614693,4533,,,,RP,pitcher_table
Bryce Dolce,NCAA_614846,4532,,R,,RP,pitcher_table
Nate Kress,NCAA_614865,4531,,,,RP,pitcher_table
Gavin Thomps,NCAA_614866,4530,,,,SP,pitcher_table
Phillips,NCAA_614781,4529,,,,SP,pitcher_table
Cort Lowry,NCAA_614761,4528,,,,SP,pitcher_table
Samuel Wright,NCAA_614715,4527,,,,SP,pitcher_table
Miller,NCAA_614601,4526,,,,SP,pitcher_table
Earnhardt,NCAA_614819,4525,,,,SP,pitcher_table
Jacob Hustedde,NCAA_614673,4524,,,,SP,pitcher_table
JOSH HOLST,NCAA_614798,4523,,,,SP,pitcher_table
Michael Barnett,BSB_UCLA,4522,,R,,SP,pitcher_table
Trey Zaffiro,NCAA_614639,4521,,R,,RP,pitcher_table
Max Hansmann,NCAA_614770,4519,66503,,,SP,pitcher_table
Wade Walton,NCAA_614766,4518,89309,,,SP,pitcher_table
Collin Bosley-Smith,NCAA_614840,4517,79889,,,SP,pitcher_table
T. Murphy,NCAA_614604,4516,,R,,SP,pitcher_table
Ben Plumley,BSB_ILLINOIS,4515,59275,R,,SP,pitcher_table
Jackson Lee,NCAA_614840,4514,98429,,,SP,pitcher_table
Luke Earnhardt,NCAA_614819,4513,98659,,,SP,pitcher_table
Randy Guzman,NCAA_614819,4512,89378,,,SP,pitcher_table
Ty Brachbill,NCAA_614766,4511,98610,,,SP,pitcher_table
Jace Gillmore,NCAA_614734,4510,91633,,,SP,pitcher_table
Emilio Rodriguez,NCAA_621265,4508,98564,,,SP,pitcher_table
Justin Kim,NCAA_614713,4507,67443,R,,SP,pitcher_table
Carter Burnette,NCAA_614813,4506,98162,,,SP,pitcher_table
Spizzoucco,NCAA_614710,4505,,,,SP,pitcher_table
Fernando Palencia,BSB_SAN_DIEGO,4504,87906,,,RP,pitcher_table
Jayden Barro,NCAA_614735,4503,,,,SP,pitcher_table
Thomas,BSB_WASHINGTON,4502,,R,,SP,pitcher_table
Sam Burgess,NCAA_614844,4501,,,,RP,pitcher_table
Keenan Anzai,NCAA_614573,4500,,R,,SP,pitcher_table
Michael Harpster,NCAA_614597,4499,,,,SP,pitcher_table
Matt STUART,NCAA_614829,4498,,R,,SP,pitcher_table
Howell,NCAA_614658,4497,,,,SP,pitcher_table
Alex Miller,NCAA_614671,4496,,,,SP,pitcher_table
Logan Rumberg,NCAA_614609,4495,,,,SP,pitcher_table
Carter Casabella,NCAA_614752,4494,,,,RP,pitcher_table
Joseph Lee,NCAA_614729,4493,,,,SP,pitcher_table
Hoffberg,BSB_GONZAGA,4492,,R,,SP,pitcher_table
Qu Thornton,NCAA_614745,4491,,,,SP,pitcher_table
Brady BICKETT,NCAA_614860,4490,,,,SP,pitcher_table
Nolan Feidt,NCAA_614723,4489,,,,SP,pitcher_table
Michael Addari,NCAA_614623,4488,,,,SP,pitcher_table
JR Tollett,BSB_LOUISIANA,4487,,,,SP,pitcher_table
Rising,NCAA_614692,4486,,R,,RP,pitcher_table
Christian Mello,NCAA_614850,4485,,,,SP,pitcher_table
C. Allen,NCAA_614678,4484,,R,,SP,pitcher_table
Carter Cox,NCAA_614694,4483,,L,,SP,pitcher_table
Danny Lazaro,BSB_VIRGINIA_TECH,4482,,,,RP,pitcher_table
Andrew Evans,NCAA_614743,4481,,,,SP,pitcher_table
Lou Levy,NCAA_614866,4480,,,,SP,pitcher_table
Bosley-Smith,NCAA_614840,4479,,,,RP,pitcher_table
Alfred Mucciarone,NCAA_614647,4478,,,,SP,pitcher_table
Hays,NCAA_614781,4477,,,,RP,pitcher_table
Keevyn Goss,NCAA_614771,4476,,,,SP,pitcher_table
Caravalho,NCAA_614621,4475,,R,,SP,pitcher_table
David James,NCAA_614723,4474,,,,SP,pitcher_table
Oliver ELLISON,NCAA_614829,4473,,R,,SP,pitcher_table
Christopher Nell,NCAA_614641,4472,,,,RP,pitcher_table
Jackson Rodgers,NCAA_614814,4471,,,,SP,pitcher_table
Luke Richard,NCAA_614667,4470,,,,SP,pitcher_table
Alekson,NCAA_614601,4469,,,,SP,pitcher_table
Hayden Bailey,NCAA_614581,4468,,R,,SP,pitcher_table
Jack Armstro,NCAA_614626,4467,,,,SP,pitcher_table
GIlley,NCAA_614819,4466,,,,SP,pitcher_table
Z VRIESENGA,NCAA_614816,4465,,R,,SP,pitcher_table
SmithC,NCAA_614658,4464,,,,SP,pitcher_table
Matthew McCullough,NCAA_614761,4463,,,,SP,pitcher_table
Steven Svens,NCAA_614735,4462,,,,SP,pitcher_table
Kenton Dever,NCAA_614770,4461,,,,SP,pitcher_table
MacDONNELL,NCAA_621265,4460,,,,SP,pitcher_table
G JONES,NCAA_614757,4459,,,,RP,pitcher_table
Steele Murdock,NCAA_614755,4458,,,,SP,pitcher_table
Jacob Turner,NCAA_614865,4457,,,,SP,pitcher_table
Duke McCarron,NCAA_614724,4456,,,,SP,pitcher_table
Hoxie,NCAA_614601,4455,,,,SP,pitcher_table
Lopez,NCAA_614621,4454,,R,,SP,pitcher_table
Connor Throneberry,NCAA_614650,4453,,,,SP,pitcher_table
Alexander Llinas,NCAA_614840,4452,98419,,,SP,pitcher_table
G Colasante,NCAA_614617,4451,,,,SP,pitcher_table
Noel Valdez,NCAA_614573,4450,,R,,SP,pitcher_table
Gavin King,NCAA_614664,4449,,R,,SP,pitcher_table
O'#393aConnor,NCAA_614692,4448,,,,SP,pitcher_table
JAXSON LLOYD,NCAA_614643,4447,,L,,SP,pitcher_table
