pitcher_espn_id,pitcher_idx,pitcher_name,team_canonical_id,season,throws,role,season_ip,season_era,fip,siera,fb_pct,fb_sensitivity,d1b_ability_adj,d1b_ability_source,n_appearances,last_appearance
,0,A. Gilbert,NCAA_614620,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-14
,0,Ross Fowler,NCAA_614688,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-11
,0,Nolan Winfield,NCAA_614677,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-11
,0,Trieg Matthews,NCAA_614787,2026,L,RP,5.0,0.0,,,,1.0,0.0,,1,2026-03-01
,0,Taylor Bednar,NCAA_614787,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-02-28
,0,John Allen,NCAA_614787,2026,L,RP,1.0,,,,,1.0,0.0,,1,2026-02-28
,0,KORSON,NCAA_614699,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-03-06
,0,Eisiminger,NCAA_614660,2026,R,RP,4.0,,,,,1.0,0.0,,1,2026-02-27
,0,CAMER NOVAK,NCAA_614660,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-03-01
,0,AU BERGGREN,NCAA_614660,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-03-01
,0,J Klus,NCAA_614779,2026,L,RP,1.0,,,,,1.0,0.0,,1,2026-02-28
,0,ALEX GAY,NCAA_614660,2026,R,RP,4.0,,,,,1.0,0.0,,1,2026-02-28
,0,MARC IOZZO,NCAA_614660,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-02-28
,0,JAK TEDESCO,NCAA_614660,2026,L,RP,3.0,,,,,1.0,0.0,,1,2026-02-28
,0,G Johnston,NCAA_614779,2026,R,RP,3.0,,,,,1.0,0.0,,1,2026-02-27
,0,DILLARD,NCAA_614699,2026,L,RP,1.0,,,,,1.0,0.0,,1,2026-03-06
,0,Brody Linker,NCAA_614832,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-11
