event_id,game_date,season,home_canonical_id,away_canonical_id,home_pitcher_espn_id,away_pitcher_espn_id,home_run_1,home_run_2,home_run_3,home_run_4,away_run_1,away_run_2,away_run_3,away_run_4,home_score,away_score
401633534,2024-05-05,2024,NCAA_614635,BSB_KANSAS,78527,79962,2,1,0,0,2,0,0,0,4,2
401633073,2024-05-05,2024,BSB_BAYLOR,BSB_TCU,78028,65422,4,1,0,0,2,4,0,0,6,10
401628162,2024-05-05,2024,BSB_AUBURN,BSB_OLE_MISS,77426,54853,10,0,0,0,1,1,2,0,10,9
401632273,2024-05-07,2024,BSB_TENNESSEE,NCAA_614757,77696,78164,3,0,1,0,3,0,0,0,6,3
401627891,2024-05-07,2024,NCAA_614676,BSB_CLEMSON,55761,61401,6,1,0,1,7,2,1,0,12,14
401632696,2024-05-07,2024,BSB_NC_STATE,NCAA_614687,77038,82647,12,3,0,0,0,0,0,0,18,0
401639871,2024-05-07,2024,BSB_UCF,NCAA_614835,78241,78278,3,0,0,1,2,1,0,0,7,4
401628217,2024-05-07,2024,BSB_FLORIDA,NCAA_614740,77371,66935,4,0,0,0,1,0,0,0,4,1
401628163,2024-05-07,2024,BSB_GEORGIA_TECH,BSB_AUBURN,57347,46212,2,0,0,0,0,0,0,1,2,7
401633173,2024-05-08,2024,BSB_VIRGINIA,NCAA_614610,79431,82782,10,4,0,0,5,0,0,0,18,5
401657033,2024-05-08,2024,BSB_OLE_MISS,NCAA_614673,65739,69844,9,0,0,0,5,0,1,1,9,12
401633586,2024-05-08,2024,NCAA_614661,NCAA_614605,66152,67113,2,1,1,0,7,1,0,0,7,9
401628293,2024-05-10,2024,BSB_SOUTH_CAROLINA,BSB_GEORGIA,57799,64925,6,2,0,0,2,3,2,0,10,14
401628218,2024-05-10,2024,BSB_FLORIDA,BSB_KENTUCKY,54614,77665,8,0,1,0,4,1,2,0,11,12
401627997,2024-05-10,2024,BSB_ARKANSAS,NCAA_614666,59632,77327,3,2,0,0,2,0,1,0,7,5
401627941,2024-05-10,2024,BSB_GEORGIA_TECH,BSB_DUKE,57344,59032,9,1,0,0,3,1,1,0,11,8
401632697,2024-05-10,2024,BSB_VIRGINIA,BSB_NC_STATE,64801,33134,0,1,1,0,3,2,0,0,5,7
401628294,2024-05-10,2024,BSB_SOUTH_CAROLINA,BSB_GEORGIA,60823,64926,3,1,0,0,3,0,1,1,5,11
401633621,2024-05-10,2024,BSB_NOTRE_DAME,NCAA_614795,80381,83075,2,2,0,0,1,2,0,0,6,5
401633535,2024-05-10,2024,BSB_WEST_VIRGINIA,NCAA_614635,81331,67248,3,0,0,0,4,0,0,0,3,4
401633748,2024-05-10,2024,BSB_KANSAS,BSB_HOUSTON,79953,70985,3,1,0,0,9,2,0,0,5,13
401628744,2024-05-10,2024,BSB_ALABAMA,BSB_LSU,77251,77072,1,0,0,1,1,0,0,1,8,7
401633074,2024-05-10,2024,BSB_TCU,NCAA_614683,65418,83114,2,3,0,0,0,1,0,0,8,2
401632213,2024-05-11,2024,BSB_OLE_MISS,NCAA_614788,77586,65630,4,3,0,0,2,0,0,0,10,2
401628219,2024-05-11,2024,BSB_FLORIDA,BSB_KENTUCKY,77371,77652,6,2,0,0,1,0,0,0,10,1
401627998,2024-05-11,2024,BSB_ARKANSAS,NCAA_614666,54485,65203,3,1,0,0,2,3,0,0,5,8
401627942,2024-05-11,2024,BSB_GEORGIA_TECH,BSB_DUKE,77173,81585,4,1,0,1,6,1,2,0,10,14
401632698,2024-05-11,2024,BSB_VIRGINIA,BSB_NC_STATE,79436,64890,5,2,0,0,3,1,0,0,9,5
401628295,2024-05-11,2024,BSB_SOUTH_CAROLINA,BSB_GEORGIA,77235,77096,1,1,1,0,5,1,1,1,6,14
401633622,2024-05-11,2024,BSB_NOTRE_DAME,NCAA_614795,50610,83055,3,1,1,0,2,0,0,0,8,2
401633749,2024-05-11,2024,BSB_KANSAS,BSB_HOUSTON,79961,81778,3,2,0,1,6,0,1,0,11,9
401628745,2024-05-11,2024,BSB_ALABAMA,BSB_LSU,9742,77070,0,0,1,0,0,0,0,1,3,6
401633217,2024-05-11,2024,BSB_UCF,BSB_TEXAS,67939,56113,2,0,1,0,4,0,0,0,5,4
401633536,2024-05-11,2024,BSB_WEST_VIRGINIA,NCAA_614635,81330,55189,3,1,1,1,0,0,0,0,13,0
401632276,2024-05-12,2024,BSB_VANDERBILT,BSB_TENNESSEE,65438,52628,1,1,0,0,0,0,0,0,3,0
401632214,2024-05-12,2024,BSB_OLE_MISS,NCAA_614788,54853,65632,0,0,0,0,4,1,0,0,0,6
401628220,2024-05-12,2024,BSB_FLORIDA,BSB_KENTUCKY,54613,54439,1,2,0,0,4,0,1,0,5,7
401627999,2024-05-12,2024,BSB_ARKANSAS,NCAA_614666,77006,54374,3,3,0,0,3,0,1,0,9,6
401627943,2024-05-12,2024,BSB_GEORGIA_TECH,BSB_DUKE,77178,65236,0,0,0,1,0,0,0,1,8,6
401632699,2024-05-12,2024,BSB_VIRGINIA,BSB_NC_STATE,79425,36645,1,0,0,1,5,1,2,0,5,13
401633750,2024-05-12,2024,BSB_KANSAS,BSB_HOUSTON,79962,81789,7,1,0,0,4,1,0,0,9,6
401633623,2024-05-12,2024,BSB_NOTRE_DAME,NCAA_614795,70495,83042,2,0,0,0,1,2,0,0,2,5
401633537,2024-05-12,2024,BSB_WEST_VIRGINIA,NCAA_614635,81347,78527,5,2,1,0,3,1,0,0,12,5
401633218,2024-05-12,2024,BSB_UCF,BSB_TEXAS,78241,50014,5,1,0,0,6,2,0,0,7,10
401628746,2024-05-12,2024,BSB_ALABAMA,BSB_LSU,54511,54898,2,1,0,0,3,0,0,0,4,3
401628166,2024-05-12,2024,BSB_MISSOURI,BSB_AUBURN,77640,39026,5,1,0,0,4,1,1,0,7,9
401632277,2024-05-14,2024,BSB_TENNESSEE,NCAA_614838,77692,58750,7,0,1,0,0,0,0,0,10,0
401628783,2024-05-14,2024,NCAA_614666,NCAA_614843,61209,82261,3,1,1,0,4,0,0,0,8,4
401632242,2024-05-16,2024,BSB_TENNESSEE,BSB_SOUTH_CAROLINA,77701,77236,4,1,1,0,3,0,0,0,9,3
401632419,2024-05-16,2024,BSB_KENTUCKY,BSB_VANDERBILT,77665,54561,3,0,1,1,3,1,0,0,10,5
401628221,2024-05-16,2024,BSB_GEORGIA,BSB_FLORIDA,64939,54614,3,3,0,0,2,1,0,0,9,4
401628784,2024-05-16,2024,NCAA_614666,BSB_MISSOURI,77327,77637,4,0,0,0,3,0,0,0,4,3
